x y z m
0.30 0.10 -0.10 0.0093
0.30 0.10 0.00 0.0093
0.30 0.10 0.10 0.0093
0.30 0.10 0.20 0.0093
0.30 0.10 0.30 0.0093
0.30 0.20 -0.30 0.0093
0.30 0.20 -0.20 0.0093
0.30 0.20 -0.10 0.0093
0.30 0.20 0.00 0.0093
0.30 0.30 -0.30 0.0093
0.30 0.30 -0.20 0.0093
0.40 -0.20 -0.30 0.0093
0.40 -0.20 -0.20 0.0093
0.40 -0.20 -0.10 0.0093
0.40 -0.10 -0.30 0.0093
0.40 -0.10 -0.20 0.0093
0.40 -0.10 -0.10 0.0093
0.40 -0.10 0.00 0.0093
0.40 -0.10 0.10 0.0093
0.40 0.00 -0.30 0.0093
0.40 0.00 -0.20 0.0093
0.40 0.00 -0.10 0.0093
0.40 0.00 0.00 0.0093
0.40 0.00 0.10 0.0093
0.40 0.00 0.20 0.0093
0.40 0.00 0.30 0.0093
0.40 0.00 0.40 0.0093
0.40 0.10 -0.30 0.0093
0.40 0.10 -0.20 0.0093
0.40 0.10 -0.10 0.0093
0.40 0.10 0.00 0.0093
0.40 0.10 0.10 0.0093
0.40 0.20 -0.30 0.0093
0.40 0.20 -0.20 0.0093
0.40 0.20 -0.10 0.0093
0.50 -0.20 -0.30 0.0093
0.50 -0.20 -0.20 0.0093
0.50 -0.10 -0.30 0.0093
0.50 -0.10 -0.20 0.0093
0.50 -0.10 -0.10 0.0093
0.50 -0.10 0.00 0.0093
0.50 0.00 -0.30 0.0093
0.50 0.00 -0.20 0.0093
0.50 0.00 -0.10 0.0093
0.50 0.00 0.00 0.0093
0.50 0.00 0.10 0.0093
0.50 0.00 0.20 0.0093
0.50 0.10 -0.30 0.0093
0.50 0.10 -0.20 0.0093
0.50 0.10 -0.10 0.0093
0.50 0.10 0.00 0.0093
0.50 0.20 -0.30 0.0093
0.50 0.20 -0.20 0.0093
0.60 -0.10 -0.30 0.0093
0.60 -0.10 -0.20 0.0093
0.60 -0.10 -0.10 0.0093
0.60 0.00 -0.30 0.0093
0.60 0.00 -0.20 0.0093
0.60 0.00 -0.10 0.0093
0.60 0.00 0.00 0.0093
0.60 0.00 0.10 0.0093
0.60 0.10 -0.30 0.0093
0.60 0.10 -0.20 0.0093
0.60 0.10 -0.10 0.0093
0.70 -0.10 -0.30 0.0093
0.70 0.00 -0.30 0.0093
0.70 0.00 -0.20 0.0093
0.70 0.00 -0.10 0.0093
0.70 0.00 0.00 0.0093
0.70 0.10 -0.30 0.0093
0.80 0.00 -0.30 0.0093
0.80 0.00 -0.20 0.0093
0.90 0.00 -0.30 0.0093
